;s;p;o;source;support;pipeline
1205;ontology alignment;requires;domain knowledge;['heuristic'];[3.0];no
776;ontology alignment;uses;domain knowledge;['heuristic'];[5];yes
867;ontology alignment;produces;domain-specific ontologies;['heuristic'];[6.0];no
1206;ontology alignment;selects;domain-specific ontologies;['heuristic'];[3.0];no
120;ontology alignment;uses;domain-specific ontologies;['luanyi', 'heuristic'];[1, 3];yes
1042;ontology alignment;produces;education;['heuristic'];[4.0];no
281;ontology alignment;uses;electronic commerce;['luanyi'];[2];yes
1207;ontology alignment;produces;engineering;['heuristic'];[3.0];no
1043;ontology alignment;uses;engineering;['heuristic'];[4.0];no
1208;ontology alignment;proposes;extensible markup language (xml);['heuristic'];[3.0];no
1209;ontology alignment;represents;faculty;['heuristic'];[3.0];no
673;ontology alignment;uses;formal concept analysis (fca);['heuristic'];[3];yes
528;ontology alignment;uses;fuzzy logics;['luanyi', 'heuristic'];[1, 1];yes
190;ontology alignment;uses;fuzzy sets theory;['luanyi'];[1];yes
1044;ontology alignment;proposes;graph theory;['heuristic'];[4.0];no
579;ontology alignment;uses;grid environments;['luanyi'];[2];yes
691;ontology alignment;uses;hownet;['heuristic'];[1];yes
630;ontology alignment;uses;image retrieval;['heuristic', 'heuristic'];[1, 2];yes
1045;ontology alignment;improves;inference;['heuristic'];[4.0];no
87;ontology alignment;is;information integration;['luanyi', 'heuristic'];[2, 4];yes
1046;ontology alignment;represents;information integration;['heuristic'];[4.0];no
947;ontology alignment;converts;information retrieval;['heuristic'];[5.0];no
1047;ontology alignment;is;information sharing;['heuristic'];[4.0];no
664;ontology alignment;is;information systems;['heuristic'];[5];yes
400;ontology alignment;uses;interactive visualizations;['luanyi'];[2];yes
753;ontology alignment;uses;knowledge bases;['heuristic'];[2];yes
1048;ontology alignment;provides;knowledge exchange;['heuristic'];[4.0];no
244;ontology alignment;supports;knowledge exchange;['openie', 'heuristic'];[1, 1];yes
1210;ontology alignment;is;knowledge management;['heuristic'];[3.0];no
677;ontology alignment;supports;knowledge-sharing;['heuristic'];[5];yes
747;ontology alignment;uses;linked data;['heuristic'];[1];yes
868;ontology alignment;publishes;linked open data;['heuristic'];[6.0];no
948;ontology alignment;supports;linked open data;['heuristic'];[5.0];no
615;ontology alignment;uses;machine learning techniques;['luanyi'];[1];yes
1211;ontology alignment;defines;matching algorithm;['heuristic'];[3.0];no
73;ontology alignment;is;modeling languages;['luanyi'];[1];yes
411;ontology alignment;uses;mutual informations;['luanyi'];[1];yes
949;ontology alignment;base;natural language processing systems;['heuristic'];[5.0];no
218;ontology alignment;is;ontologies;['luanyi'];[1];yes
207;ontology alignment;reuses;ontologies;['openie'];[1];yes
34;ontology alignment;uses;ontologies;['heuristic', 'luanyi', 'heuristic', 'heuristic'];[111, 1, 429, 269];yes
1212;ontology alignment;provides;ontology building;['heuristic'];[3.0];no
502;ontology alignment;is;ontology construction;['luanyi'];[1];yes
456;ontology alignment;uses;ontology construction;['luanyi'];[1];yes
1049;ontology alignment;combines;ontology evolution;['heuristic'];[4.0];no
77;ontology alignment;uses;ontology integration;['luanyi'];[1];yes
1213;ontology alignment;is;ontology merging;['heuristic'];[3.0];no
500;ontology alignment;uses;ontology technology;['luanyi'];[1];yes
435;ontology alignment;uses;particle swarm optimization algorithms;['luanyi'];[1];yes
231;ontology alignment;includes;pervasive computing environments;['luanyi'];[1];yes
357;ontology alignment;uses;posterior probability;['luanyi'];[1];yes
1050;ontology alignment;proposes;product design;['heuristic'];[4.0];no
1214;ontology alignment;executes;reasoning algorithms;['heuristic'];[3.0];no
1215;ontology alignment;matches;reasoning algorithms;['heuristic'];[3.0];no
869;ontology alignment;provides;reasoning algorithms;['heuristic'];[6.0];no
403;ontology alignment;uses;relational database systems;['luanyi'];[1];yes
447;ontology alignment;uses;rough sets theory;['luanyi'];[1];yes
950;ontology alignment;provides;semantic data;['heuristic'];[5.0];no
245;ontology alignment;is;semantic descriptions;['luanyi'];[2];yes
870;ontology alignment;limits;semantic heterogeneity;['heuristic'];[6.0];no
93;ontology alignment;provides;semantic interoperability;['openie'];[4];yes
570;ontology alignment;supports;semantic interoperability;['openie'];[1];yes
375;ontology alignment;uses;semantic interoperability;['luanyi', 'luanyi'];[1, 2];yes
581;ontology alignment;includes;semantic relationships;['luanyi'];[1];yes
535;ontology alignment;uses;semantic relationships;['luanyi', 'heuristic'];[1, 2];yes
822;ontology alignment;executes;semantic similarity measures;['heuristic'];[7.0];no
1051;ontology alignment;proposes;semantic web services;['heuristic'];[4.0];no
301;ontology alignment;is;semantic web technologies;['luanyi', 'luanyi', 'heuristic', 'heuristic'];[1, 9, 67, 43];yes
69;ontology alignment;uses;semantic web technologies;['luanyi', 'luanyi'];[2, 5];yes
1052;ontology alignment;represents;sensor data;['heuristic'];[4.0];no
1216;ontology alignment;is;text categorization;['heuristic'];[3.0];no
562;ontology alignment;uses;vector space models;['luanyi'];[1];yes
215;ontology alignment;is;web of data;['luanyi'];[1];yes
1053;ontology alignment;provides;web of data;['heuristic'];[4.0];no
783;ontology alignment;provides;web ontology language;['heuristic'];[8.0];no
1217;ontology alignment;converts;web service composition;['heuristic'];[3.0];no
1218;ontology alignment;improves;web services discovery;['heuristic'];[3.0];no
527;ontology alignment;uses;wordnet;['luanyi'];[1];yes
1219;ontology building;proposes;web ontology language;['heuristic'];[3.0];no
33;ontology construction;uses;linked data;['luanyi'];[1];yes
1054;ontology construction;acquires;ontology alignment;['heuristic'];[4.0];no
1055;ontology construction;supports;resource description framework (rdf);['heuristic'];[4.0];no
709;ontology construction;uses;resource description framework (rdf);['heuristic'];[1];yes
704;ontology construction;uses;semantic descriptions;['heuristic'];[2];yes
951;ontology construction;supports;web ontology language;['heuristic'];[5.0];no
310;ontology construction;uses;web ontology language;['luanyi'];[1];yes
621;ontology design;uses;web ontology language;['heuristic'];[1];yes
1056;ontology development;supports;resource description framework (rdf);['heuristic'];[4.0];no
125;ontology development;uses;web ontology language;['luanyi'];[2];yes
121;ontology evolution;is;semantic descriptions;['luanyi'];[1];yes
36;ontology integration;includes;ontology alignment;['luanyi'];[1];yes
1220;ontology integration;provides;semantic web services;['heuristic'];[3.0];no
397;ontology language;uses;resource description framework (rdf);['luanyi'];[1];yes
680;ontology language;defines;semantic web services;['heuristic'];[18];yes
223;ontology language;proposes;web ontology language;['heuristic'];[82];yes
823;ontology language;provides;web ontology language;['heuristic'];[7.0];no
714;ontology learning;uses;resource description framework (rdf);['heuristic'];[1];yes
534;ontology learning;is;semantic descriptions;['luanyi'];[2];yes
1221;ontology merging;produces;ontology alignment;['heuristic'];[3.0];no
1057;ontology modeling;matches;web ontology language;['heuristic'];[4.0];no
555;ontology modeling;uses;web ontology language;['luanyi'];[1];yes
608;open source software;uses;linked data;['luanyi'];[1];yes
1058;optimization;learns;ontology alignment;['heuristic'];[4.0];no
702;organizational memory;uses;resource description framework (rdf);['heuristic'];[1];yes
178;parsing algorithm;uses;linked data;['luanyi'];[1];yes
1222;pattern;produces;linked data;['heuristic'];[3.0];no
1059;pattern;supports;semantic descriptions;['heuristic'];[4.0];no
1060;pervasive;combines;semantic web services;['heuristic'];[4.0];no
646;pervasive computing;uses;web ontology language;['heuristic'];[1];yes
289;petri nets;uses;semantic web services;['heuristic'];[23];yes
321;policy specification;uses;resource description framework (rdf);['luanyi'];[1];yes
734;privacy;uses;web ontology language;['heuristic'];[1];yes
710;product configuration;uses;web ontology language;['heuristic'];[1];yes
633;product family design;uses;web ontology language;['heuristic'];[1];yes
752;programming languages;uses;semantic description;['heuristic'];[1];yes
766;propositional logic;uses;web ontology language;['heuristic'];[1];yes
952;query execution;executes;linked data;['heuristic'];[5.0];no
123;query expansion;uses;ontology alignment;['luanyi'];[1];yes
561;query processing;links;linked data;['heuristic'];[20];yes
266;query processing;uses;ontology alignment;['luanyi'];[1];yes
824;question answering systems;links;linked data;['heuristic'];[7.0];no
230;question answering systems;uses;linked data;['luanyi'];[3];yes
173;question answering systems;uses;ontology alignment;['luanyi'];[3];yes
138;question answering systems;uses;semantic search engine;['luanyi'];[1];yes
1061;question answering systems;acquires;semantic search engines;['heuristic'];[4.0];no
784;question answering systems;links;semantic search engines;['heuristic'];[8.0];no
953;radio frequency identification technology;combines;semantic web services;['heuristic'];[5.0];no
114;rdf data;interacts;linked data;['heuristic'];[22];yes
472;rdf data;uses;resource description framework (rdf);['heuristic'];[29];yes
1223;rdf data;converts;semantic search engine;['heuristic'];[3.0];no
374;rdf data;uses;semantic search engine;['openie', 'luanyi'];[1, 1];yes
1224;rdf data;converts;semantic search engines;['heuristic'];[3.0];no
1062;rdf data;provides;web ontology language;['heuristic'];[4.0];no
871;rdf graph;maintains;linked data;['heuristic'];[6.0];no
785;rdf graph;includes;resource description framework (rdf);['heuristic'];[8.0];no
684;re-engineering;uses;linked data;['heuristic'];[4];yes
825;reasoning algorithms;executes;ontology alignment;['heuristic'];[7.0];no
954;reasoning algorithms;represents;ontology alignment;['heuristic'];[5.0];no
955;reasoning algorithms;supports;ontology alignment;['heuristic'];[5.0];no
826;reasoning algorithms;produces;semantic description;['heuristic'];[7.0];no
1225;reasoning algorithms;is;web ontology language;['heuristic'];[3.0];no
329;reasoning algorithms;uses;web ontology language;['luanyi', 'heuristic', 'openie'];[1, 47, 1];yes
255;recommendation;is;linked data;['luanyi'];[1];yes
656;recommendation;uses;linked data;['heuristic'];[18];yes
956;recommendation;defines;resource description framework (rdf);['heuristic'];[5.0];no
764;recommendation;uses;web ontology language;['heuristic'];[7];yes
571;recommender systems;uses;linked data;['luanyi', 'heuristic'];[1, 8];yes
393;recommender systems;includes;semantic web services;['luanyi'];[1];yes
460;relation extraction;uses;semantic search engine;['luanyi'];[1];yes
627;relational database systems;uses;ontology alignment;['heuristic'];[1];yes
294;relational database systems;uses;resource description framework (rdf);['heuristic'];[29];yes
1226;relational database systems;produces;semantic description;['heuristic'];[3.0];no
1063;relevance feedback;acquires;linked data;['heuristic'];[4.0];no
211;resource description framework (rdf);uses;abstract syntax;['luanyi'];[1];yes
1227;resource description framework (rdf);supports;access control;['heuristic'];[3.0];no
632;resource description framework (rdf);uses;access control;['heuristic'];[1];yes
957;resource description framework (rdf);uses;bdd;['heuristic'];[5.0];no
1228;resource description framework (rdf);affects;bibliographic data;['heuristic'];[3.0];no
872;resource description framework (rdf);uses;cloud computing;['heuristic'];[6.0];no
1064;resource description framework (rdf);improves;collaborative work;['heuristic'];[4.0];no
1065;resource description framework (rdf);produces;compilers;['heuristic'];[4.0];no
566;resource description framework (rdf);includes;component-based software engineering;['luanyi'];[1];yes
149;resource description framework (rdf);is;component-based software engineering;['luanyi'];[1];yes
1229;resource description framework (rdf);provides;component-based software engineering;['heuristic'];[3.0];no
1230;resource description framework (rdf);acquires;computer graphics equipment;['heuristic'];[3.0];no
724;resource description framework (rdf);uses;computer science;['heuristic'];[1];yes
433;resource description framework (rdf);provides;data integration;['openie'];[2];yes
1066;resource description framework (rdf);supports;data integration;['heuristic'];[4.0];no
1231;resource description framework (rdf);produces;database systems;['heuristic'];[3.0];no
430;resource description framework (rdf);uses;database systems;['luanyi'];[3];yes
958;resource description framework (rdf);interacts;dbpedia;['heuristic'];[5.0];no
873;resource description framework (rdf);uses;dbpedia;['heuristic'];[6.0];no
786;resource description framework (rdf);uses;description logics;['heuristic'];[8.0];no
90;resource description framework (rdf);uses;digital libraries;['luanyi', 'heuristic'];[1, 9];yes
721;resource description framework (rdf);represents;domain knowledge;['heuristic'];[5];yes
1067;resource description framework (rdf);proposes;education;['heuristic'];[4.0];no
959;resource description framework (rdf);supports;engineering;['heuristic'];[5.0];no
1232;resource description framework (rdf);base;extensible markup language;['heuristic'];[3.0];no
0;resource description framework (rdf);uses;extensible markup language (xml);['heuristic', 'heuristic'];[25, 136];yes
161;resource description framework (rdf);uses;fuzzy cognitive maps;['luanyi'];[1];yes
1233;resource description framework (rdf);converts;graph matchings;['heuristic'];[3.0];no
1068;resource description framework (rdf);executes;hash;['heuristic'];[4.0];no
1069;resource description framework (rdf);provides;hypertext transfer protocol (http);['heuristic'];[4.0];no
1070;resource description framework (rdf);evaluates;index structure;['heuristic'];[4.0];no
182;resource description framework (rdf);produces;inference;['heuristic'];[26];yes
787;resource description framework (rdf);supports;inference;['heuristic'];[8.0];no
1234;resource description framework (rdf);requires;information fusion;['heuristic'];[3.0];no
250;resource description framework (rdf);is;intelligent agents;['luanyi'];[1];yes
1235;resource description framework (rdf);selects;knowledge acquisition;['heuristic', 'heuristic'];[3.0, 2.0];no
1071;resource description framework (rdf);provides;knowledge bases;['heuristic'];[4.0];no
960;resource description framework (rdf);supports;knowledge management;['heuristic'];[5.0];no
1072;resource description framework (rdf);uses;knowledge management;['heuristic'];[4.0];no
257;resource description framework (rdf);guides;knowledge representation;['heuristic'];[33];yes
874;resource description framework (rdf);is;knowledge representation;['heuristic'];[6.0];no
788;resource description framework (rdf);learns;learning;['heuristic'];[8.0];no
875;resource description framework (rdf);learns;learning objects;['heuristic'];[6.0];no
1073;resource description framework (rdf);uses;libraries;['heuristic'];[4.0];no
96;resource description framework (rdf);is;linked data;['luanyi'];[1];yes
471;resource description framework (rdf);links;linked data;['heuristic'];[24];yes
563;resource description framework (rdf);produces;linked data;['heuristic'];[55];yes
176;resource description framework (rdf);is;linked open data;['luanyi'];[8];yes
789;resource description framework (rdf);uses;linked open data;['heuristic'];[8.0];no
1236;resource description framework (rdf);acquires;mobile applications;['heuristic'];[3.0];no
1237;resource description framework (rdf);provides;modeling languages;['heuristic'];[3.0];no
1238;resource description framework (rdf);selects;natural language processing systems;['heuristic'];[3.0];no
28;resource description framework (rdf);defines;ontologies;['heuristic', 'openie', 'heuristic'];[77, 3, 155];yes
64;resource description framework (rdf);is;ontology language;['luanyi'];[11];yes
262;resource description framework (rdf);provides;ontology modeling;['openie'];[1];yes
1074;resource description framework (rdf);improves;query execution;['heuristic'];[4.0];no
587;resource description framework (rdf);uses;query optimization;['luanyi'];[1];yes
548;resource description framework (rdf);includes;rdf data;['luanyi'];[1];yes
315;resource description framework (rdf);queries;rdf data;['openie'];[1];yes
166;resource description framework (rdf);uses;rdf data;['heuristic'];[53];yes
356;resource description framework (rdf);uses;rdf graph;['heuristic'];[21];yes
439;resource description framework (rdf);produces;reasoning algorithms;['heuristic'];[20];yes
9;resource description framework (rdf);provides;reasoning algorithms;['openie'];[1];yes
876;resource description framework (rdf);supports;reasoning algorithms;['heuristic'];[6.0];no
366;resource description framework (rdf);is;recommendation;['openie'];[2];yes
1075;resource description framework (rdf);produces;relational data;['heuristic'];[4.0];no
490;resource description framework (rdf);uses;relational data;['luanyi'];[1];yes
877;resource description framework (rdf);converts;relational database systems;['heuristic'];[6.0];no
197;resource description framework (rdf);matches;relational database systems;['heuristic'];[29];yes
1239;resource description framework (rdf);produces;resource discovery;['heuristic'];[3.0];no
741;resource description framework (rdf);provides;retrieval performance;['heuristic'];[1];yes
827;resource description framework (rdf);acquires;semantic data;['heuristic'];[7.0];no
595;resource description framework (rdf);includes;semantic data;['luanyi'];[1];yes
249;resource description framework (rdf);is;semantic interoperability;['luanyi'];[1];yes
1240;resource description framework (rdf);provides;semantic interoperability;['heuristic'];[3.0];no
465;resource description framework (rdf);is;semantic relationships;['luanyi'];[2];yes
961;resource description framework (rdf);supports;semantic search engines;['heuristic'];[5.0];no
1241;resource description framework (rdf);converts;semantic web technologies;['heuristic'];[3.0];no
112;resource description framework (rdf);is;semantic web technologies;['luanyi', 'heuristic', 'luanyi', 'luanyi'];[9, 131, 8, 68];yes
600;resource description framework (rdf);provides;semantic web technologies;['heuristic'];[228];yes
78;resource description framework (rdf);uses;semantic web technologies;['luanyi'];[2];yes
409;resource description framework (rdf);is;semantic wikis;['luanyi'];[1];yes
61;resource description framework (rdf);is;social networks;['luanyi'];[1];yes
169;resource description framework (rdf);includes;social sciences;['luanyi'];[1];yes
401;resource description framework (rdf);represents;sparql;['heuristic'];[39];yes
258;resource description framework (rdf);uses;sparql;['heuristic', 'openie'];[134, 1];yes
694;resource description framework (rdf);uses;sparql inferencing notation (spin);['heuristic'];[2];yes
347;resource description framework (rdf);is;standard model;['openie', 'heuristic', 'heuristic'];[1, 1, 2];yes
1242;resource description framework (rdf);produces;structured query language (sql);['heuristic'];[3.0];no
1076;resource description framework (rdf);automates;validation;['heuristic'];[4.0];no
226;resource description framework (rdf);is;vocabulary;['luanyi'];[2];yes
338;resource description framework (rdf);provides;vocabulary;['heuristic'];[20];yes
557;resource description framework (rdf);is;web applications;['luanyi'];[8];yes
1243;resource description framework (rdf);provides;web applications;['heuristic'];[3.0];no
790;resource description framework (rdf);includes;web contents;['heuristic', 'heuristic'];[8.0, 3.0];no
154;resource description framework (rdf);represents;web contents;['openie', 'heuristic'];[1, 2];yes
444;resource description framework (rdf);is;web engineering;['luanyi'];[1];yes
501;resource description framework (rdf);represents;web information;['openie', 'heuristic'];[1, 8];yes
1077;resource description framework (rdf);interacts;web of data;['heuristic'];[4.0];no
27;resource description framework (rdf);is;web ontology language;['luanyi'];[6];yes
275;resource description framework (rdf);uses;web ontology language;['heuristic'];[212];yes
1244;resource description framework (rdf);supports;wordnet;['heuristic'];[3.0];no
373;resource description framework (rdf);includes;xml data;['openie'];[1];yes
620;resource discovery;uses;linked data;['heuristic'];[1];yes
482;resource discovery;uses;web ontology language;['luanyi'];[1];yes
1245;resource sharing;base;web ontology language;['heuristic'];[3.0];no
689;robots;uses;semantic description;['heuristic'];[2];yes
763;robots;uses;semantic web services;['heuristic'];[2];yes
1246;satisfiability;includes;web ontology language;['heuristic'];[3.0];no
962;schema matching;uses;ontology alignment;['heuristic'];[5.0];no
296;scientific data;uses;linked data;['luanyi'];[1];yes
963;search engines;base;resource description framework (rdf);['heuristic'];[5.0];no
1078;search engines;selects;resource description framework (rdf);['heuristic'];[4.0];no
91;search engines;includes;semantic search engines;['luanyi'];[4];yes
346;search engines;provides;semantic search engines;['openie', 'heuristic'];[2, 44];yes
585;search engines;uses;semantic web services;['luanyi'];[2];yes
598;search engines;uses;web ontology language;['luanyi'];[2];yes
25;security models;uses;resource description framework (rdf);['luanyi'];[1];yes
1247;security policies;base;web ontology language;['heuristic', 'heuristic'];[3.0, 1.0];no
52;security policies;uses;web ontology language;['luanyi'];[1];yes
1248;semantic concept;supports;semantic search engines;['heuristic'];[3.0];no
1079;semantic data;links;linked data;['heuristic'];[4.0];no
412;semantic data;uses;ontology alignment;['luanyi'];[1];yes
878;semantic data;improves;semantic search engines;['heuristic'];[6.0];no
658;semantic data;uses;web ontology language;['heuristic'];[2];yes
565;semantic description;uses;analytic hierarchy process (ahp);['luanyi'];[1];yes
1249;semantic description;supports;automated reasoning;['heuristic'];[3.0];no
879;semantic description;provides;automation;['heuristic'];[6.0];no
1250;semantic description;supports;autonomic computing;['heuristic'];[3.0];no
964;semantic description;improves;cache;['heuristic'];[5.0];no
1080;semantic description;requires;compilers;['heuristic'];[4.0];no
663;semantic description;uses;component-based software engineering;['heuristic'];[11];yes
828;semantic description;produces;content based recommendation (cbr);['heuristic'];[7.0];no
316;semantic description;uses;description logics;['luanyi'];[1];yes
1251;semantic description;proposes;descriptors;['heuristic'];[3.0];no
791;semantic description;improves;digital libraries;['heuristic'];[8.0];no
145;semantic description;uses;digital libraries;['luanyi'];[1];yes
1081;semantic description;learns;e-learning environment;['heuristic'];[4.0];no
1252;semantic description;links;engineering;['heuristic'];[3.0];no
1253;semantic description;affects;extensible markup language (xml);['heuristic'];[3.0];no
202;semantic description;uses;formal specifications;['luanyi'];[1];yes
164;semantic description;uses;fuzzy logics;['luanyi'];[1];yes
688;semantic description;uses;haskell;['heuristic'];[2];yes
1254;semantic description;acquires;knowledge bases;['heuristic'];[3.0];no
142;semantic description;uses;knowledge bases;['luanyi'];[1];yes
1082;semantic description;converts;knowledge representation;['heuristic'];[4.0];no
1255;semantic description;proposes;linked data;['heuristic'];[3.0];no
402;semantic description;uses;model-driven architectures;['luanyi'];[1];yes
1083;semantic description;includes;multimedia data;['heuristic'];[4.0];no
485;semantic description;uses;ontologies;['heuristic', 'luanyi', 'openie'];[48, 6, 1];yes
731;semantic description;uses;ontology alignment;['heuristic'];[1];yes
59;semantic description;uses;ontology language;['luanyi', 'heuristic'];[2, 4];yes
686;semantic description;uses;parallel programming;['heuristic'];[2];yes
552;semantic description;supports;reasoning algorithms;['openie'];[1];yes
1084;semantic description;supports;search engines;['heuristic'];[4.0];no
174;semantic description;uses;semantic descriptions;['luanyi'];[1];yes
880;semantic description;extends;semantic distance;['heuristic'];[6.0];no
1256;semantic description;extends;semantic relationships;['heuristic'];[3.0];no
1085;semantic description;provides;semantic relationships;['heuristic'];[4.0];no
377;semantic description;uses;semantic relationships;['luanyi'];[1];yes
1086;semantic description;provides;semantic web services;['heuristic'];[4.0];no
611;semantic description;uses;semantic web technologies;['luanyi', 'heuristic'];[1, 3];yes
1087;semantic description;provides;sensor data;['heuristic'];[4.0];no
1257;semantic description;supports;service compositions;['heuristic'];[3.0];no
1258;semantic description;provides;web ontology language;['heuristic'];[3.0];no
170;semantic description;uses;web ontology language;['openie', 'heuristic'];[1, 3];yes
1259;semantic description;provides;wordnet;['heuristic'];[3.0];no
510;semantic description;uses;wordnet;['luanyi'];[1];yes
159;semantic descriptions;supports;business services;['openie'];[1];yes
364;semantic descriptions;is;component-based software engineering;['openie'];[1];yes
542;semantic descriptions;uses;heterogeneous databases;['luanyi'];[1];yes
1260;semantic descriptions;publishes;linked data;['heuristic'];[3.0];no
541;semantic descriptions;uses;ontologies;['luanyi'];[3];yes
1261;semantic descriptions;is;resource description framework (rdf);['heuristic'];[3.0];no
685;semantic descriptions;uses;semantic description;['heuristic'];[1];yes
13;semantic descriptions;is;semantic relationships;['luanyi'];[1];yes
881;semantic descriptions;is;semantic web technologies;['heuristic', 'heuristic'];[6.0, 1.0];no
269;semantic descriptions;uses;semantic web technologies;['openie', 'heuristic'];[1, 3];yes
1262;semantic descriptions;supports;web of data;['heuristic'];[3.0];no
765;semantic desktop;uses;linked data;['heuristic'];[1];yes
232;semantic desktop;uses;semantic search engines;['luanyi'];[1];yes
514;semantic distance;uses;linked data;['luanyi'];[1];yes
318;semantic heterogeneity;uses;ontology alignment;['luanyi', 'luanyi'];[3, 1];yes
75;semantic heterogeneity;uses;semantic web services;['luanyi'];[1];yes
1263;semantic interoperability;provides;linked data;['heuristic'];[3.0];no
146;semantic interoperability;uses;ontology alignment;['luanyi', 'luanyi', 'heuristic'];[10, 3, 10];yes
1264;semantic interoperability;supports;semantic search engines;['heuristic'];[3.0];no
1088;semantic interoperability;converts;semantic web services;['heuristic'];[4.0];no
489;semantic interoperability;uses;semantic web services;['luanyi'];[1];yes
792;semantic interoperability;includes;web ontology language;['heuristic'];[8.0];no
497;semantic interoperability;uses;web ontology language;['luanyi', 'heuristic'];[2, 3];yes
719;semantic metadata;uses;resource description framework (rdf);['heuristic'];[1];yes
436;semantic relationships;uses;linked data;['luanyi', 'luanyi'];[1, 2];yes
5;semantic relationships;uses;ontology alignment;['luanyi'];[1];yes
1265;semantic relationships;converts;resource description framework (rdf);['heuristic'];[3.0];no
1266;semantic relationships;represents;resource description framework (rdf);['heuristic'];[3.0];no
1267;semantic relationships;selects;semantic description;['heuristic'];[3.0];no
425;semantic relationships;uses;semantic description;['luanyi'];[1];yes
965;semantic relationships;represents;semantic web services;['heuristic'];[5.0];no
526;semantic relationships;supports;semantic web services;['heuristic'];[21];yes
387;semantic relationships;uses;semantic web services;['luanyi'];[4];yes
703;semantic relationships;uses;web ontology language;['heuristic', 'heuristic'];[8, 1];yes
882;semantic search engine;acquires;component-based software engineering;['heuristic', 'heuristic'];[6.0, 1.0];no
212;semantic search engine;includes;component-based software engineering;['luanyi'];[1];yes
1268;semantic search engine;acquires;database systems;['heuristic'];[3.0];no
406;semantic search engine;uses;database systems;['luanyi'];[1];yes
248;semantic search engine;uses;description logics;['luanyi'];[1];yes
1269;semantic search engine;produces;domain-specific ontologies;['heuristic'];[3.0];no
644;semantic search engine;uses;engine;['heuristic'];[17];yes
1089;semantic search engine;combines;information retrieval;['heuristic'];[4.0];no
157;semantic search engine;is;information technology;['luanyi'];[1];yes
1270;semantic search engine;acquires;internet;['heuristic'];[3.0];no
701;semantic search engine;uses;knowledge bases;['heuristic'];[4];yes
141;semantic search engine;uses;linked data;['luanyi'];[1];yes
1090;semantic search engine;supports;linked open data;['heuristic'];[4.0];no
241;semantic search engine;uses;natural language interfaces;['luanyi'];[4];yes
1271;semantic search engine;provides;natural languages;['heuristic'];[3.0];no
2;semantic search engine;produces;ontologies;['heuristic'];[30];yes
273;semantic search engine;uses;ontologies;['luanyi'];[5];yes
966;semantic search engine;acquires;ontology technology;['heuristic'];[5.0];no
589;semantic search engine;combines;ontology technology;['openie'];[1];yes
404;semantic search engine;uses;ontology technology;['luanyi'];[1];yes
588;semantic search engine;uses;search engines;['luanyi'];[4];yes
220;semantic search engine;uses;semantic data;['luanyi'];[1];yes
556;semantic search engine;uses;semantic relationships;['luanyi'];[2];yes
504;semantic search engine;uses;semantic search engines;['luanyi'];[2];yes
17;semantic search engine;uses;semantic web technologies;['luanyi', 'luanyi', 'heuristic'];[3, 1, 1];yes
650;semantic search engine;uses;structured query language (sql);['heuristic'];[1];yes
478;semantic search engine;uses;user interfaces;['luanyi'];[1];yes
883;semantic search engine;provides;user query;['heuristic'];[6.0];no
1272;semantic search engine;supports;visualization;['heuristic'];[3.0];no
1091;semantic search engine;acquires;web contents;['heuristic'];[4.0];no
700;semantic search engine;includes;web information;['heuristic'];[2];yes
493;semantic search engine;uses;wordnet;['luanyi'];[1];yes
1092;semantic search engines;produces;access control;['heuristic'];[4.0];no
967;semantic search engines;uses;artificial intelligence;['heuristic'];[5.0];no
829;semantic search engines;supports;audio;['heuristic'];[7.0];no
129;semantic search engines;uses;automatic image annotation;['luanyi', 'heuristic'];[1, 1];yes
1273;semantic search engines;acquires;background knowledge;['heuristic'];[3.0];no
1274;semantic search engines;uses;clustering algorithms;['heuristic'];[3.0];no
884;semantic search engines;produces;communication;['heuristic'];[6.0];no
793;semantic search engines;acquires;component-based software engineering;['heuristic', 'heuristic'];[8.0, 1.0];no
352;semantic search engines;is;component-based software engineering;['openie'];[1];yes
1275;semantic search engines;proposes;concept lattices;['heuristic'];[3.0];no
1276;semantic search engines;causes;concept similarity;['heuristic'];[3.0];no
1277;semantic search engines;uses;data mining;['heuristic'];[3.0];no
623;semantic search engines;uses;database systems;['heuristic'];[4];yes
365;semantic search engines;uses;description logics;['luanyi', 'heuristic'];[1, 3];yes
678;semantic search engines;uses;digital images;['heuristic'];[1];yes
968;semantic search engines;is;digital libraries;['heuristic'];[5.0];no
885;semantic search engines;provides;domain knowledge;['heuristic'];[6.0];no
495;semantic search engines;uses;domain-specific ontologies;['luanyi'];[5];yes
1278;semantic search engines;learns;e-learning environment;['heuristic'];[3.0];no
108;semantic search engines;uses;electronic documents;['luanyi'];[1];yes
253;semantic search engines;uses;email;['luanyi'];[1];yes
454;semantic search engines;uses;engine;['heuristic'];[47];yes
1093;semantic search engines;base;extensible markup language (xml);['heuristic'];[4.0];no
746;semantic search engines;uses;fuzzy description logic;['heuristic'];[2];yes
332;semantic search engines;uses;graph matchings;['luanyi'];[1];yes
1279;semantic search engines;base;hierarchical models;['heuristic'];[3.0];no
494;semantic search engines;uses;hierarchical models;['luanyi'];[2];yes
582;semantic search engines;uses;index structure;['luanyi'];[1];yes
432;semantic search engines;uses;inference;['luanyi', 'heuristic'];[2, 21];yes
1280;semantic search engines;supports;information acquisitions;['heuristic'];[3.0];no
1281;semantic search engines;uses;information needs;['heuristic'];[3.0];no
593;semantic search engines;uses;information retrieval;['heuristic'];[34];yes
