;s;p;o;source;support;pipeline
1011;decision procedures;supports;web ontology language;['heuristic'];[4.0];no
79;deontic logic;is;web ontology language;['luanyi'];[1];yes
1153;description logics;base;resource description framework (rdf);['heuristic'];[3.0];no
58;description logics;supports;web ontology language;['heuristic'];[29];yes
345;description logics;uses;web ontology language;['luanyi'];[7];yes
921;design knowledge;base;ontology alignment;['heuristic'];[5.0];no
442;digital contents;uses;linked data;['luanyi'];[1];yes
1154;digital images;converts;web ontology language;['heuristic'];[3.0];no
519;digital libraries;uses;linked data;['luanyi'];[1];yes
613;digital libraries;uses;semantic web services;['luanyi'];[2];yes
922;digital preservation;contributes;linked data;['heuristic'];[5.0];no
1012;distributed architectures;base;semantic web services;['heuristic'];[4.0];no
1155;distributed hash table;supports;semantic search engines;['heuristic'];[3.0];no
567;distributed hash table;includes;semantic web services;['luanyi'];[1];yes
337;distributed query processing;uses;linked data;['luanyi'];[1];yes
363;document clustering;uses;semantic search engines;['luanyi'];[1];yes
728;domain knowledge;uses;resource description framework (rdf);['heuristic'];[1];yes
324;domain knowledge;uses;semantic description;['luanyi'];[1];yes
1156;domain knowledge;produces;semantic search engines;['heuristic'];[3.0];no
573;domain knowledge;uses;semantic search engines;['luanyi'];[1];yes
122;domain knowledge;uses;semantic web services;['luanyi'];[1];yes
810;domain knowledge;converts;web ontology language;['heuristic'];[7.0];no
238;domain knowledge;includes;web ontology language;['luanyi'];[2];yes
71;domain knowledge;uses;web ontology language;['luanyi'];[3];yes
778;domain-specific ontologies;supports;linked data;['heuristic'];[8.0];no
16;domain-specific ontologies;uses;ontology alignment;['luanyi'];[2];yes
639;domain-specific ontologies;uses;resource description framework (rdf);['heuristic'];[2];yes
1157;domain-specific ontologies;includes;semantic description;['heuristic'];[3.0];no
923;domain-specific ontologies;proposes;web ontology language;['heuristic'];[5.0];no
274;domain-specific ontologies;uses;web ontology language;['openie', 'luanyi', 'luanyi'];[1, 2, 3];yes
198;dublin core;is;resource description framework (rdf);['luanyi'];[1];yes
1013;dublin core;selects;resource description framework (rdf);['heuristic'];[4.0];no
1158;dublin core;learns;web ontology language;['heuristic'];[3.0];no
852;education;links;linked data;['heuristic'];[6.0];no
1014;education;uses;resource description framework (rdf);['heuristic'];[4.0];no
769;education;uses;web ontology language;['heuristic'];[1];yes
607;electronic commerce;requires;ontology alignment;['openie'];[1];yes
40;electronic commerce;uses;ontology alignment;['luanyi'];[1];yes
727;electronic health record (ehr);uses;semantic search engine;['heuristic'];[1];yes
693;electronic health record (ehr);uses;semantic search engines;['heuristic'];[3];yes
1159;engine;converts;ontology alignment;['heuristic'];[3.0];no
340;engine;provides;semantic search engines;['heuristic'];[56];yes
668;engine;produces;web ontology language;['heuristic'];[5];yes
853;engineering;supports;resource description framework (rdf);['heuristic'];[6.0];no
779;engineering;proposes;semantic description;['heuristic'];[8.0];no
924;engineering;automates;semantic web services;['heuristic'];[5.0];no
811;engineering;supports;web ontology language;['heuristic'];[7.0];no
140;enterprise architecture;uses;resource description framework (rdf);['openie', 'luanyi', 'heuristic'];[1, 1, 1];yes
628;enterprise information systems;uses;semantic web services;['heuristic'];[7];yes
854;extensible markup language;uses;resource description framework (rdf);['heuristic'];[6.0];no
1015;extensible markup language (xml);converts;linked data;['heuristic'];[4.0];no
736;extensible markup language (xml);uses;ontology alignment;['heuristic'];[4];yes
229;extensible markup language (xml);converts;resource description framework (rdf);['heuristic'];[149];yes
247;extensible markup language (xml);uses;resource description framework (rdf);['heuristic'];[25];yes
210;extensible markup language (xml);uses;semantic search engine;['luanyi'];[1];yes
925;extensible markup language (xml);proposes;semantic search engines;['heuristic'];[5.0];no
204;extensible markup language (xml);defines;web ontology language;['heuristic'];[22];yes
1160;extensible stylesheet language (xslt);converts;resource description framework (rdf);['heuristic'];[3.0];no
1016;extract-transform-load (etl) process;proposes;web ontology language;['heuristic'];[4.0];no
113;facebook;is;semantic search engines;['luanyi'];[1];yes
707;facial expressions;uses;linked data;['heuristic'];[1];yes
669;financial statement ontology (fso);uses;web ontology language;['heuristic'];[1];yes
1161;fingerprints;learns;linked data;['heuristic'];[3.0];no
697;formal concept analysis (fca);uses;ontology alignment;['heuristic'];[1];yes
743;formal models;uses;semantic web services;['heuristic'];[7];yes
713;formal specifications;uses;resource description framework (rdf);['heuristic'];[1];yes
855;fuzzy description logic;extends;web ontology language;['heuristic'];[6.0];no
1162;fuzzy logics;maintains;semantic description;['heuristic'];[3.0];no
1163;fuzzy ontology;proposes;resource description framework (rdf);['heuristic'];[3.0];no
6;fuzzy ontology;uses;semantic search engine;['luanyi'];[1];yes
57;geographic information system;uses;linked data;['luanyi'];[1];yes
137;geospatial data;uses;semantic description;['luanyi'];[2];yes
1164;graphical models;learns;semantic description;['heuristic'];[3.0];no
484;grid computing;is;semantic web services;['luanyi'];[1];yes
503;grid services;uses;semantic description;['luanyi'];[1];yes
1017;grid services;defines;web ontology language;['heuristic'];[4.0];no
107;grid services;uses;web ontology language;['luanyi'];[2];yes
716;hadoop;uses;semantic search engines;['heuristic'];[1];yes
812;hash;links;linked data;['heuristic'];[7.0];no
1165;heterogeneous databases;includes;semantic search engines;['heuristic'];[3.0];no
771;hierarchical structures;uses;resource description framework (rdf);['heuristic'];[1];yes
780;hypertext markup language (html);produces;resource description framework (rdf);['heuristic'];[8.0];no
1166;hypertext markup language (html);provides;semantic search engines;['heuristic'];[3.0];no
1167;hypertext markup language (html);is;web ontology language;['heuristic'];[3.0];no
738;hypertext transfer protocol (http);uses;linked data;['heuristic'];[19];yes
1168;hypertext transfer protocol (http);produces;semantic search engines;['heuristic'];[3.0];no
574;hypervisor;is;linked data;['luanyi'];[1];yes
477;image retrieval;uses;ontology alignment;['luanyi'];[1];yes
856;image retrieval;base;semantic description;['heuristic'];[6.0];no
1169;image retrieval;supports;semantic search engines;['heuristic'];[3.0];no
647;image search;uses;semantic description;['heuristic'];[1];yes
1170;index structure;provides;resource description framework (rdf);['heuristic'];[3.0];no
1018;index structure;proposes;semantic search engines;['heuristic'];[4.0];no
379;inference;uses;resource description framework (rdf);['luanyi', 'heuristic'];[2, 26];yes
371;inference;is;semantic search engine;['luanyi'];[1];yes
926;inference;base;web ontology language;['heuristic'];[5.0];no
327;inference;uses;web ontology language;['openie', 'heuristic'];[1, 15];yes
76;information acquisitions;uses;semantic search engines;['luanyi'];[1];yes
670;information communications technology (ict);uses;semantic web services;['heuristic'];[1];yes
813;information extraction;links;linked data;['heuristic'];[7.0];no
420;information extraction;uses;linked data;['luanyi'];[1];yes
1171;information extraction;is;ontology alignment;['heuristic'];[3.0];no
1172;information extraction;includes;resource description framework (rdf);['heuristic'];[3.0];no
192;information filtering;uses;semantic description;['luanyi'];[1];yes
30;information fusion;uses;linked data;['luanyi'];[1];yes
711;information integration;uses;linked data;['heuristic'];[3];yes
227;information integration;uses;ontology alignment;['luanyi'];[2];yes
586;information needs;uses;linked data;['luanyi'];[1];yes
604;information retrieval;uses;linked data;['luanyi'];[1];yes
1173;information retrieval;maintains;ontology alignment;['heuristic'];[3.0];no
156;information retrieval;uses;ontology alignment;['luanyi', 'luanyi'];[7, 1];yes
1174;information retrieval;represents;resource description framework (rdf);['heuristic'];[3.0];no
551;information retrieval;uses;resource description framework (rdf);['luanyi'];[1];yes
692;information retrieval;uses;semantic description;['heuristic'];[1];yes
508;information retrieval;uses;semantic search engine;['luanyi', 'heuristic'];[1, 7];yes
334;information retrieval;uses;semantic search engines;['luanyi', 'heuristic'];[2, 41];yes
594;information retrieval;is;semantic web services;['luanyi'];[2];yes
56;information sharing;is;resource description framework (rdf);['luanyi'];[1];yes
370;information systems;uses;linked data;['luanyi'];[1];yes
857;information systems;matches;ontology alignment;['heuristic'];[6.0];no
927;information systems;produces;semantic web services;['heuristic'];[5.0];no
553;intelligent agents;uses;semantic web services;['luanyi'];[2];yes
410;intelligent tutoring systems;uses;web ontology language;['luanyi', 'heuristic'];[1, 1];yes
1175;internet;represents;resource description framework (rdf);['heuristic'];[3.0];no
676;internet;uses;semantic description;['heuristic'];[4];yes
1176;internet;converts;semantic search engines;['heuristic'];[3.0];no
705;investments;uses;linked data;['heuristic'];[1];yes
928;java;includes;resource description framework (rdf);['heuristic'];[5.0];no
1019;java;supports;semantic web services;['heuristic'];[4.0];no
929;java;converts;web ontology language;['heuristic', 'heuristic'];[5.0, 4.0];no
92;keyword search;uses;linked data;['luanyi'];[2];yes
458;knowledge bases;uses;linked data;['luanyi'];[1];yes
1177;knowledge bases;defines;resource description framework (rdf);['heuristic'];[3.0];no
1020;knowledge bases;acquires;semantic description;['heuristic'];[4.0];no
1178;knowledge bases;uses;semantic search engine;['heuristic'];[3.0];no
930;knowledge bases;base;web ontology language;['heuristic'];[5.0];no
39;knowledge bases;uses;web ontology language;['openie', 'luanyi', 'heuristic'];[1, 2, 8];yes
1021;knowledge discovery;links;linked data;['heuristic'];[4.0];no
243;knowledge discovery;uses;linked data;['luanyi'];[3];yes
148;knowledge discovery;uses;resource description framework (rdf);['luanyi'];[1];yes
1022;knowledge discovery;supports;semantic search engines;['heuristic'];[4.0];no
350;knowledge engineering;uses;linked data;['luanyi'];[2];yes
185;knowledge exchange;uses;ontology alignment;['luanyi'];[1];yes
457;knowledge exchange;uses;resource description framework (rdf);['luanyi'];[1];yes
931;knowledge management;uses;semantic search engines;['heuristic'];[5.0];no
306;knowledge management;is;semantic web services;['luanyi'];[2];yes
1179;knowledge management;provides;semantic web services;['heuristic'];[3.0];no
1023;knowledge management;base;web ontology language;['heuristic'];[4.0];no
745;knowledge management;uses;web ontology language;['heuristic'];[1];yes
150;knowledge management systems;uses;linked data;['luanyi'];[1];yes
323;knowledge management systems;uses;resource description framework (rdf);['luanyi'];[1];yes
648;knowledge management systems;uses;semantic search engines;['heuristic'];[1];yes
626;knowledge management systems;uses;web ontology language;['heuristic'];[1];yes
814;knowledge representation;extends;resource description framework (rdf);['heuristic'];[7.0];no
177;knowledge representation;uses;resource description framework (rdf);['luanyi', 'luanyi'];[4, 1];yes
358;knowledge representation;base;web ontology language;['heuristic'];[20];yes
293;knowledge representation;uses;web ontology language;['luanyi', 'openie', 'heuristic', 'luanyi'];[1, 1, 21, 3];yes
434;knowledge representation and reasoning;uses;resource description framework (rdf);['luanyi'];[1];yes
429;knowledge-sharing;uses;ontology alignment;['luanyi'];[3];yes
1180;lan;provides;resource description framework (rdf);['heuristic'];[3.0];no
756;language acquisition;uses;linked data;['heuristic'];[1];yes
446;learning;produces;linked data;['heuristic'];[23];yes
1024;learning;requires;ontology alignment;['heuristic'];[4.0];no
643;learning;uses;resource description framework (rdf);['heuristic', 'heuristic'];[6, 9];yes
1025;learning;requires;semantic description;['heuristic'];[4.0];no
667;learning;uses;semantic search engine;['heuristic'];[1];yes
631;learning objects;uses;ontology alignment;['heuristic'];[1];yes
355;learning objects;uses;semantic search engines;['luanyi'];[1];yes
932;learning objects;learns;semantic web services;['heuristic'];[5.0];no
100;learning organizations;includes;semantic search engine;['luanyi'];[1];yes
933;legacy systems;acquires;resource description framework (rdf);['heuristic'];[5.0];no
55;libraries;links;linked data;['heuristic'];[63];yes
144;libraries;uses;linked data;['luanyi'];[1];yes
591;libraries;uses;resource description framework (rdf);['openie'];[1];yes
1026;linked data;supports;access control;['heuristic'];[4.0];no
