;s;p;o;source;support;pipeline
1378;model transformations;converts;web ontology language;['heuristic'];[3.0];no
371;modeling languages;uses;web ontology language;['luanyi'];[4];yes
823;mse;uses;web ontology language;['heuristic'];[1];yes
929;multimedia contents;uses;web ontology language;['heuristic'];[1];yes
1215;music recommendation;links;linked data;['heuristic'];[4.0];no
916;named entity recognition;uses;linked data;['heuristic'];[2];yes
512;named entity recognition;is;resource description framework (rdf);['luanyi'];[1];yes
31;natural language interfaces;uses;ontology alignment;['luanyi'];[1];yes
987;natural language processing systems;publishes;linked data;['heuristic'];[7.0];no
934;natural language processing systems;uses;semantic description;['heuristic'];[1];yes
1115;natural language processing systems;uses;semantic search engines;['heuristic'];[5.0];no
519;natural language processing systems;uses;web ontology language;['luanyi'];[1];yes
1379;natural languages;converts;web ontology language;['heuristic'];[3.0];no
1380;network management;produces;resource description framework (rdf);['heuristic', 'heuristic'];[3.0, 2.0];no
895;network management;uses;semantic web services;['heuristic'];[1];yes
988;on-line learning;produces;linked data;['heuristic'];[7.0];no
124;ontologies;provides;linked data;['heuristic'];[108];yes
193;ontologies;supports;linked data;['openie'];[1];yes
44;ontologies;proposes;ontology alignment;['openie'];[1];yes
709;ontologies;uses;ontology alignment;['heuristic', 'luanyi', 'heuristic'];[204, 2, 338];yes
190;ontologies;represents;resource description framework (rdf);['heuristic'];[159];yes
5;ontologies;uses;resource description framework (rdf);['heuristic', 'openie'];[91, 2];yes
137;ontologies;produces;semantic description;['heuristic'];[56];yes
420;ontologies;produces;semantic descriptions;['openie'];[1];yes
233;ontologies;provides;semantic descriptions;['heuristic'];[23];yes
101;ontologies;uses;semantic search engine;['heuristic'];[15];yes
355;ontologies;executes;semantic search engines;['openie'];[2];yes
175;ontologies;provides;semantic search engines;['heuristic'];[151];yes
142;ontologies;uses;semantic web services;['heuristic'];[226];yes
33;ontologies;uses;web ontology language;['openie', 'luanyi', 'openie', 'heuristic', 'heuristic', 'luanyi'];[9, 25, 11, 418, 391, 8];yes
1216;ontology alignment;supports;access control;['heuristic'];[4.0];no
989;ontology alignment;uses;answering queries;['heuristic'];[7.0];no
683;ontology alignment;uses;argumentation;['luanyi'];[2];yes
594;ontology alignment;uses;automated reasoning;['luanyi'];[1];yes
1217;ontology alignment;base;background knowledge;['heuristic'];[4.0];no
144;ontology alignment;uses;background knowledge;['luanyi'];[1];yes
647;ontology alignment;uses;bayesian networks;['luanyi', 'heuristic'];[1, 1];yes
1381;ontology alignment;executes;belief propagation;['heuristic'];[3.0];no
915;ontology alignment;uses;clone detection;['heuristic'];[1];yes
1382;ontology alignment;proposes;clustering algorithms;['heuristic'];[3.0];no
1116;ontology alignment;is;communication;['heuristic'];[5.0];no
426;ontology alignment;produces;communication;['openie'];[1];yes
948;ontology alignment;supports;communication;['heuristic'];[8.0];no
1117;ontology alignment;uses;communication;['heuristic'];[5.0];no
409;ontology alignment;is;computer science;['luanyi'];[1];yes
192;ontology alignment;executes;concept similarity;['heuristic'];[21];yes
55;ontology alignment;uses;controlled natural language;['luanyi'];[1];yes
312;ontology alignment;is;data integration;['heuristic', 'heuristic'];[11, 20];yes
1118;ontology alignment;provides;data integration;['heuristic'];[5.0];no
1383;ontology alignment;provides;data mining;['heuristic'];[3.0];no
922;ontology alignment;uses;decision tables;['heuristic'];[1];yes
1034;ontology alignment;uses;description logics;['heuristic', 'heuristic'];[6.0, 1.0];no
1218;ontology alignment;proposes;design knowledge;['heuristic'];[4.0];no
543;ontology alignment;uses;distributed environments;['luanyi'];[1];yes
1384;ontology alignment;requires;domain knowledge;['heuristic'];[3.0];no
924;ontology alignment;uses;domain knowledge;['heuristic'];[5];yes
1035;ontology alignment;produces;domain-specific ontologies;['heuristic'];[6.0];no
1385;ontology alignment;selects;domain-specific ontologies;['heuristic'];[3.0];no
111;ontology alignment;uses;domain-specific ontologies;['luanyi', 'heuristic'];[1, 3];yes
1219;ontology alignment;produces;education;['heuristic'];[4.0];no
289;ontology alignment;uses;electronic commerce;['luanyi'];[2];yes
1386;ontology alignment;produces;engineering;['heuristic'];[3.0];no
1220;ontology alignment;uses;engineering;['heuristic'];[4.0];no
1387;ontology alignment;proposes;extensible markup language (xml);['heuristic'];[3.0];no
1388;ontology alignment;represents;faculty;['heuristic'];[3.0];no
832;ontology alignment;uses;formal concept analysis (fca);['heuristic'];[3];yes
735;ontology alignment;uses;fuzzy logics;['luanyi', 'heuristic'];[1, 1];yes
240;ontology alignment;uses;fuzzy sets theory;['luanyi'];[1];yes
1221;ontology alignment;proposes;graph theory;['heuristic'];[4.0];no
15;ontology alignment;uses;grid environments;['luanyi'];[2];yes
932;ontology alignment;uses;hownet;['heuristic'];[1];yes
1222;ontology alignment;improves;inference;['heuristic'];[4.0];no
430;ontology alignment;is;information integration;['luanyi'];[2];yes
1223;ontology alignment;represents;information integration;['heuristic'];[4.0];no
1119;ontology alignment;converts;information retrieval;['heuristic'];[5.0];no
657;ontology alignment;is;information retrieval;['heuristic'];[9];yes
1224;ontology alignment;is;information sharing;['heuristic'];[4.0];no
1120;ontology alignment;is;information systems;['heuristic'];[5.0];no
148;ontology alignment;uses;interactive visualizations;['luanyi'];[2];yes
846;ontology alignment;uses;knowledge bases;['heuristic'];[2];yes
1225;ontology alignment;provides;knowledge exchange;['heuristic'];[4.0];no
351;ontology alignment;supports;knowledge exchange;['openie', 'heuristic'];[1, 1];yes
1389;ontology alignment;is;knowledge management;['heuristic'];[3.0];no
1121;ontology alignment;supports;knowledge-sharing;['heuristic'];[5.0];no
81;ontology alignment;base;learning;['heuristic'];[11];yes
13;ontology alignment;learns;learning;['heuristic'];[16];yes
854;ontology alignment;uses;linked data;['heuristic'];[1];yes
1036;ontology alignment;publishes;linked open data;['heuristic'];[6.0];no
1122;ontology alignment;supports;linked open data;['heuristic'];[5.0];no
129;ontology alignment;uses;machine learning techniques;['luanyi'];[1];yes
1390;ontology alignment;defines;matching algorithm;['heuristic'];[3.0];no
578;ontology alignment;is;modeling languages;['luanyi'];[1];yes
600;ontology alignment;uses;mutual informations;['luanyi'];[1];yes
1123;ontology alignment;base;natural language processing systems;['heuristic'];[5.0];no
456;ontology alignment;is;ontologies;['luanyi'];[1];yes
760;ontology alignment;reuses;ontologies;['openie'];[1];yes
388;ontology alignment;uses;ontologies;['luanyi', 'heuristic', 'heuristic', 'heuristic'];[1, 429, 111, 269];yes
1037;ontology alignment;combines;ontology alignment;['heuristic'];[6.0];no
394;ontology alignment;is;ontology alignment;['luanyi'];[2];yes
1038;ontology alignment;provides;ontology alignment;['heuristic'];[6.0];no
136;ontology alignment;uses;ontology alignment;['luanyi', 'luanyi'];[1, 4];yes
1391;ontology alignment;provides;ontology building;['heuristic'];[3.0];no
367;ontology alignment;is;ontology construction;['luanyi'];[1];yes
454;ontology alignment;uses;ontology construction;['luanyi'];[1];yes
1226;ontology alignment;combines;ontology evolution;['heuristic'];[4.0];no
36;ontology alignment;proposes;ontology integration;['heuristic'];[16];yes
469;ontology alignment;uses;ontology integration;['luanyi'];[1];yes
824;ontology alignment;is;ontology learning;['heuristic'];[4];yes
1392;ontology alignment;is;ontology merging;['heuristic'];[3.0];no
472;ontology alignment;proposes;ontology merging;['heuristic'];[11];yes
447;ontology alignment;uses;ontology technology;['luanyi'];[1];yes
119;ontology alignment;uses;particle swarm optimization algorithms;['luanyi'];[1];yes
453;ontology alignment;includes;pervasive computing environments;['luanyi'];[1];yes
637;ontology alignment;uses;posterior probability;['luanyi'];[1];yes
1227;ontology alignment;proposes;product design;['heuristic'];[4.0];no
836;ontology alignment;uses;query expansion;['heuristic'];[1];yes
1393;ontology alignment;executes;reasoning algorithms;['heuristic'];[3.0];no
1394;ontology alignment;matches;reasoning algorithms;['heuristic'];[3.0];no
1039;ontology alignment;provides;reasoning algorithms;['heuristic'];[6.0];no
459;ontology alignment;uses;relational database systems;['luanyi'];[1];yes
483;ontology alignment;uses;rough sets theory;['luanyi'];[1];yes
1124;ontology alignment;provides;semantic data;['heuristic'];[5.0];no
121;ontology alignment;is;semantic descriptions;['luanyi'];[2];yes
1040;ontology alignment;limits;semantic heterogeneity;['heuristic'];[6.0];no
91;ontology alignment;provides;semantic interoperability;['openie', 'heuristic'];[4, 12];yes
25;ontology alignment;supports;semantic interoperability;['heuristic', 'openie'];[17, 1];yes
162;ontology alignment;uses;semantic interoperability;['luanyi', 'luanyi'];[1, 2];yes
527;ontology alignment;includes;semantic relationships;['luanyi'];[1];yes
636;ontology alignment;uses;semantic relationships;['luanyi'];[1];yes
350;ontology alignment;combines;semantic similarity measures;['heuristic'];[9];yes
990;ontology alignment;executes;semantic similarity measures;['heuristic'];[7.0];no
1228;ontology alignment;proposes;semantic web services;['heuristic'];[4.0];no
416;ontology alignment;is;semantic web technologies;['luanyi', 'luanyi', 'heuristic', 'heuristic', 'heuristic'];[9, 1, 43, 13, 67];yes
79;ontology alignment;uses;semantic web technologies;['luanyi', 'luanyi'];[5, 2];yes
1229;ontology alignment;represents;sensor data;['heuristic'];[4.0];no
1395;ontology alignment;is;text categorization;['heuristic'];[3.0];no
780;ontology alignment;uses;vector space models;['luanyi'];[1];yes
607;ontology alignment;supports;web applications;['heuristic'];[9];yes
213;ontology alignment;is;web of data;['luanyi'];[1];yes
1230;ontology alignment;provides;web of data;['heuristic'];[4.0];no
949;ontology alignment;provides;web ontology language;['heuristic'];[8.0];no
1396;ontology alignment;converts;web service composition;['heuristic'];[3.0];no
1397;ontology alignment;improves;web services discovery;['heuristic'];[3.0];no
264;ontology alignment;base;wordnet;['heuristic', 'heuristic'];[13, 11];yes
601;ontology alignment;uses;wordnet;['luanyi'];[1];yes
1398;ontology building;proposes;web ontology language;['heuristic'];[3.0];no
50;ontology construction;uses;linked data;['luanyi'];[1];yes
1231;ontology construction;acquires;ontology alignment;['heuristic'];[4.0];no
1232;ontology construction;supports;resource description framework (rdf);['heuristic'];[4.0];no
890;ontology construction;uses;resource description framework (rdf);['heuristic'];[1];yes
1125;ontology construction;supports;web ontology language;['heuristic'];[5.0];no
179;ontology construction;uses;web ontology language;['luanyi'];[1];yes
859;ontology design;uses;web ontology language;['heuristic'];[1];yes
1233;ontology development;supports;resource description framework (rdf);['heuristic'];[4.0];no
507;ontology development;uses;web ontology language;['luanyi'];[2];yes
400;ontology evolution;is;semantic descriptions;['luanyi'];[1];yes
538;ontology integration;includes;ontology alignment;['luanyi'];[1];yes
496;ontology integration;proposes;ontology alignment;['heuristic'];[11];yes
1399;ontology integration;provides;semantic web services;['heuristic'];[3.0];no
686;ontology language;base;resource description framework (rdf);['heuristic'];[10];yes
797;ontology language;supports;resource description framework (rdf);['heuristic'];[11];yes
300;ontology language;uses;resource description framework (rdf);['luanyi'];[1];yes
697;ontology language;defines;semantic web services;['heuristic'];[18];yes
535;ontology language;proposes;web ontology language;['heuristic'];[82];yes
991;ontology language;provides;web ontology language;['heuristic'];[7.0];no
853;ontology learning;uses;resource description framework (rdf);['heuristic'];[1];yes
408;ontology learning;is;semantic descriptions;['luanyi'];[2];yes
1400;ontology merging;produces;ontology alignment;['heuristic'];[3.0];no
1234;ontology modeling;matches;web ontology language;['heuristic'];[4.0];no
3;ontology modeling;uses;web ontology language;['luanyi'];[1];yes
158;open source software;uses;linked data;['luanyi'];[1];yes
850;optimization;uses;linked data;['heuristic'];[1];yes
1235;optimization;learns;ontology alignment;['heuristic'];[4.0];no
908;organizational memory;uses;resource description framework (rdf);['heuristic'];[1];yes
14;parsing algorithm;uses;linked data;['luanyi'];[1];yes
1401;pattern;produces;linked data;['heuristic'];[3.0];no
1236;pattern;supports;semantic descriptions;['heuristic'];[4.0];no
1237;pervasive;combines;semantic web services;['heuristic'];[4.0];no
812;pervasive;uses;web ontology language;['heuristic'];[1];yes
899;pervasive computing;uses;web ontology language;['heuristic'];[1];yes
215;petri nets;uses;semantic web services;['heuristic'];[23];yes
445;policy specification;uses;resource description framework (rdf);['luanyi'];[1];yes
752;process management;combines;semantic web services;['heuristic'];[9];yes
896;product configuration;uses;web ontology language;['heuristic'];[1];yes
818;product family design;uses;web ontology language;['heuristic'];[1];yes
1126;query execution;executes;linked data;['heuristic'];[5.0];no
370;query expansion;uses;ontology alignment;['luanyi'];[1];yes
575;query processing;links;linked data;['heuristic'];[20];yes
290;query processing;uses;ontology alignment;['luanyi'];[1];yes
466;question answering systems;links;linked data;['heuristic'];[9];yes
212;question answering systems;uses;linked data;['luanyi'];[3];yes
680;question answering systems;uses;ontology alignment;['luanyi'];[3];yes
753;question answering systems;uses;semantic search engine;['luanyi'];[1];yes
1238;question answering systems;acquires;semantic search engines;['heuristic'];[4.0];no
950;question answering systems;links;semantic search engines;['heuristic'];[8.0];no
1127;radio frequency identification technology;combines;semantic web services;['heuristic'];[5.0];no
428;rdf data;interacts;linked data;['heuristic'];[22];yes
86;rdf data;uses;resource description framework (rdf);['heuristic'];[29];yes
1402;rdf data;converts;semantic search engine;['heuristic'];[3.0];no
325;rdf data;uses;semantic search engine;['luanyi', 'openie'];[1, 1];yes
1403;rdf data;converts;semantic search engines;['heuristic'];[3.0];no
1239;rdf data;provides;web ontology language;['heuristic'];[4.0];no
1041;rdf graph;maintains;linked data;['heuristic'];[6.0];no
951;rdf graph;includes;resource description framework (rdf);['heuristic'];[8.0];no
942;re-engineering;uses;linked data;['heuristic'];[4];yes
440;reasoning algorithms;provides;linked data;['heuristic'];[11];yes
992;reasoning algorithms;executes;ontology alignment;['heuristic'];[7.0];no
1128;reasoning algorithms;represents;ontology alignment;['heuristic'];[5.0];no
1129;reasoning algorithms;supports;ontology alignment;['heuristic'];[5.0];no
993;reasoning algorithms;produces;semantic description;['heuristic'];[7.0];no
745;reasoning algorithms;uses;semantic web services;['heuristic'];[19];yes
510;reasoning algorithms;defines;web ontology language;['heuristic'];[18];yes
1404;reasoning algorithms;is;web ontology language;['heuristic'];[3.0];no
164;reasoning algorithms;uses;web ontology language;['openie', 'luanyi', 'heuristic'];[1, 1, 47];yes
553;recommendation;is;linked data;['luanyi'];[1];yes
730;recommendation;uses;linked data;['heuristic'];[18];yes
1130;recommendation;defines;resource description framework (rdf);['heuristic'];[5.0];no
828;recommendation;uses;web ontology language;['heuristic'];[7];yes
677;recommender systems;uses;linked data;['luanyi', 'heuristic'];[1, 8];yes
719;recommender systems;includes;semantic web services;['luanyi'];[1];yes
682;relation extraction;uses;semantic search engine;['luanyi'];[1];yes
900;relational database systems;uses;ontology alignment;['heuristic'];[1];yes
93;relational database systems;uses;resource description framework (rdf);['heuristic'];[29];yes
1405;relational database systems;produces;semantic description;['heuristic'];[3.0];no
229;relational database systems;acquires;web ontology language;['heuristic'];[12];yes
1240;relevance feedback;acquires;linked data;['heuristic'];[4.0];no
806;resource description framework (rdf);uses;abstract syntax;['luanyi'];[1];yes
1406;resource description framework (rdf);supports;access control;['heuristic'];[3.0];no
910;resource description framework (rdf);uses;access control;['heuristic'];[1];yes
1131;resource description framework (rdf);uses;bdd;['heuristic'];[5.0];no
1407;resource description framework (rdf);affects;bibliographic data;['heuristic'];[3.0];no
1042;resource description framework (rdf);uses;cloud computing;['heuristic'];[6.0];no
1241;resource description framework (rdf);improves;collaborative work;['heuristic'];[4.0];no
1242;resource description framework (rdf);produces;compilers;['heuristic'];[4.0];no
424;resource description framework (rdf);includes;component-based software engineering;['luanyi'];[1];yes
659;resource description framework (rdf);is;component-based software engineering;['luanyi', 'heuristic'];[1, 4];yes
1408;resource description framework (rdf);provides;component-based software engineering;['heuristic'];[3.0];no
1409;resource description framework (rdf);acquires;computer graphics equipment;['heuristic'];[3.0];no
893;resource description framework (rdf);is;constraint language;['heuristic'];[1];yes
610;resource description framework (rdf);uses;data exchange;['heuristic'];[10];yes
499;resource description framework (rdf);provides;data integration;['openie', 'heuristic'];[2, 9];yes
1243;resource description framework (rdf);supports;data integration;['heuristic'];[4.0];no
1410;resource description framework (rdf);produces;database systems;['heuristic'];[3.0];no
107;resource description framework (rdf);uses;database systems;['luanyi'];[3];yes
1132;resource description framework (rdf);interacts;dbpedia;['heuristic'];[5.0];no
1043;resource description framework (rdf);uses;dbpedia;['heuristic'];[6.0];no
952;resource description framework (rdf);uses;description logics;['heuristic'];[8.0];no
90;resource description framework (rdf);uses;digital libraries;['heuristic', 'luanyi'];[9, 1];yes
411;resource description framework (rdf);acquires;domain knowledge;['heuristic'];[9];yes
833;resource description framework (rdf);represents;domain knowledge;['heuristic'];[5];yes
1244;resource description framework (rdf);proposes;education;['heuristic'];[4.0];no
238;resource description framework (rdf);uses;engine;['heuristic'];[9];yes
1133;resource description framework (rdf);supports;engineering;['heuristic'];[5.0];no
1411;resource description framework (rdf);base;extensible markup language;['heuristic'];[3.0];no
655;resource description framework (rdf);proposes;extensible markup language;['heuristic'];[9];yes
48;resource description framework (rdf);uses;extensible markup language (xml);['heuristic', 'heuristic'];[136, 25];yes
905;resource description framework (rdf);uses;formal specifications;['heuristic'];[5];yes
301;resource description framework (rdf);uses;fuzzy cognitive maps;['luanyi'];[1];yes
1412;resource description framework (rdf);converts;graph matchings;['heuristic'];[3.0];no
1245;resource description framework (rdf);executes;hash;['heuristic'];[4.0];no
1246;resource description framework (rdf);provides;hypertext transfer protocol (http);['heuristic'];[4.0];no
1247;resource description framework (rdf);evaluates;index structure;['heuristic'];[4.0];no
468;resource description framework (rdf);produces;inference;['heuristic'];[26];yes
953;resource description framework (rdf);supports;inference;['heuristic'];[8.0];no
1413;resource description framework (rdf);requires;information fusion;['heuristic'];[3.0];no
588;resource description framework (rdf);is;intelligent agents;['luanyi'];[1];yes
7;resource description framework (rdf);proposes;internet;['heuristic'];[11];yes
777;resource description framework (rdf);provides;internet;['heuristic'];[15];yes
1414;resource description framework (rdf);selects;knowledge acquisition;['heuristic', 'heuristic'];[3.0, 2.0];no
446;resource description framework (rdf);extends;knowledge bases;['heuristic'];[12];yes
1248;resource description framework (rdf);provides;knowledge bases;['heuristic'];[4.0];no
1134;resource description framework (rdf);supports;knowledge management;['heuristic'];[5.0];no
1249;resource description framework (rdf);uses;knowledge management;['heuristic'];[4.0];no
523;resource description framework (rdf);guides;knowledge representation;['heuristic'];[33];yes
1044;resource description framework (rdf);is;knowledge representation;['heuristic'];[6.0];no
954;resource description framework (rdf);learns;learning;['heuristic'];[8.0];no
1045;resource description framework (rdf);learns;learning objects;['heuristic'];[6.0];no
702;resource description framework (rdf);uses;libraries;['heuristic'];[12];yes
196;resource description framework (rdf);is;linked data;['luanyi'];[1];yes
27;resource description framework (rdf);links;linked data;['heuristic'];[24];yes
24;resource description framework (rdf);produces;linked data;['heuristic'];[55];yes
147;resource description framework (rdf);is;linked open data;['luanyi'];[8];yes
955;resource description framework (rdf);uses;linked open data;['heuristic'];[8.0];no
1415;resource description framework (rdf);acquires;mobile applications;['heuristic'];[3.0];no
1416;resource description framework (rdf);provides;modeling languages;['heuristic'];[3.0];no
1417;resource description framework (rdf);selects;natural language processing systems;['heuristic'];[3.0];no
96;resource description framework (rdf);defines;ontologies;['openie', 'heuristic', 'heuristic'];[3, 155, 77];yes
621;resource description framework (rdf);is;ontology language;['luanyi'];[11];yes
678;resource description framework (rdf);provides;ontology language;['heuristic'];[19];yes
444;resource description framework (rdf);provides;ontology modeling;['openie'];[1];yes
1250;resource description framework (rdf);improves;query execution;['heuristic'];[4.0];no
198;resource description framework (rdf);uses;query optimization;['luanyi'];[1];yes
582;resource description framework (rdf);converts;rdf data;['heuristic'];[11];yes
577;resource description framework (rdf);includes;rdf data;['luanyi'];[1];yes
710;resource description framework (rdf);queries;rdf data;['openie'];[1];yes
242;resource description framework (rdf);uses;rdf data;['heuristic'];[53];yes
207;resource description framework (rdf);includes;rdf graph;['heuristic'];[15];yes
520;resource description framework (rdf);uses;rdf graph;['heuristic'];[21];yes
30;resource description framework (rdf);produces;reasoning algorithms;['heuristic'];[20];yes
399;resource description framework (rdf);provides;reasoning algorithms;['openie'];[1];yes
1046;resource description framework (rdf);supports;reasoning algorithms;['heuristic'];[6.0];no
450;resource description framework (rdf);is;recommendation;['openie'];[2];yes
1251;resource description framework (rdf);produces;relational data;['heuristic'];[4.0];no
718;resource description framework (rdf);uses;relational data;['luanyi'];[1];yes
1047;resource description framework (rdf);converts;relational database systems;['heuristic'];[6.0];no
644;resource description framework (rdf);matches;relational database systems;['heuristic'];[29];yes
1418;resource description framework (rdf);produces;resource discovery;['heuristic'];[3.0];no
220;resource description framework (rdf);uses;search engines;['heuristic'];[16];yes
994;resource description framework (rdf);acquires;semantic data;['heuristic'];[7.0];no
373;resource description framework (rdf);includes;semantic data;['luanyi'];[1];yes
602;resource description framework (rdf);is;semantic interoperability;['luanyi'];[1];yes
1419;resource description framework (rdf);provides;semantic interoperability;['heuristic'];[3.0];no
429;resource description framework (rdf);represents;semantic interoperability;['heuristic'];[9];yes
700;resource description framework (rdf);acquires;semantic relationships;['heuristic'];[9];yes
224;resource description framework (rdf);is;semantic relationships;['luanyi'];[2];yes
4;resource description framework (rdf);provides;semantic relationships;['heuristic'];[10];yes
1135;resource description framework (rdf);supports;semantic search engines;['heuristic'];[5.0];no
746;resource description framework (rdf);produces;semantic web services;['heuristic'];[10];yes
1420;resource description framework (rdf);converts;semantic web technologies;['heuristic'];[3.0];no
358;resource description framework (rdf);is;semantic web technologies;['luanyi', 'heuristic', 'luanyi', 'luanyi'];[9, 131, 8, 68];yes
658;resource description framework (rdf);provides;semantic web technologies;['heuristic'];[228];yes
514;resource description framework (rdf);uses;semantic web technologies;['luanyi'];[2];yes
234;resource description framework (rdf);is;semantic wikis;['luanyi'];[1];yes
799;resource description framework (rdf);is;social networks;['luanyi'];[1];yes
555;resource description framework (rdf);includes;social sciences;['luanyi'];[1];yes
699;resource description framework (rdf);represents;sparql;['heuristic'];[39];yes
41;resource description framework (rdf);uses;sparql;['heuristic', 'openie'];[134, 1];yes
386;resource description framework (rdf);is;standard model;['openie', 'heuristic', 'heuristic'];[1, 1, 2];yes
1421;resource description framework (rdf);produces;structured query language (sql);['heuristic'];[3.0];no
1252;resource description framework (rdf);automates;validation;['heuristic'];[4.0];no
364;resource description framework (rdf);is;vocabulary;['luanyi'];[2];yes
434;resource description framework (rdf);provides;vocabulary;['heuristic'];[20];yes
623;resource description framework (rdf);supports;vocabulary;['heuristic'];[11];yes
418;resource description framework (rdf);is;web applications;['luanyi'];[8];yes
1422;resource description framework (rdf);provides;web applications;['heuristic'];[3.0];no
407;resource description framework (rdf);uses;web applications;['heuristic'];[10];yes
956;resource description framework (rdf);includes;web contents;['heuristic', 'heuristic'];[8.0, 3.0];no
484;resource description framework (rdf);represents;web contents;['openie', 'heuristic'];[1, 2];yes
346;resource description framework (rdf);is;web engineering;['luanyi'];[1];yes
338;resource description framework (rdf);represents;web information;['openie'];[1];yes
1253;resource description framework (rdf);interacts;web of data;['heuristic'];[4.0];no
530;resource description framework (rdf);is;web ontology language;['luanyi'];[6];yes
359;resource description framework (rdf);uses;web ontology language;['heuristic'];[212];yes
1423;resource description framework (rdf);supports;wordnet;['heuristic'];[3.0];no
146;resource description framework (rdf);is;world wide web;['heuristic', 'heuristic'];[17, 11];yes
564;resource description framework (rdf);converts;xml data;['heuristic'];[13];yes
348;resource description framework (rdf);includes;xml data;['openie'];[1];yes
926;resource discovery;uses;linked data;['heuristic'];[1];yes
565;resource discovery;uses;web ontology language;['luanyi'];[1];yes
1424;resource sharing;base;web ontology language;['heuristic'];[3.0];no
849;robots;uses;semantic description;['heuristic'];[2];yes
881;robots;uses;semantic web services;['heuristic'];[2];yes
1425;satisfiability;includes;web ontology language;['heuristic'];[3.0];no
1136;schema matching;uses;ontology alignment;['heuristic'];[5.0];no
558;scientific data;publishes;linked data;['heuristic'];[9];yes
705;scientific data;uses;linked data;['luanyi'];[1];yes
246;search engines;links;linked data;['heuristic'];[9];yes
1137;search engines;base;resource description framework (rdf);['heuristic'];[5.0];no
1254;search engines;selects;resource description framework (rdf);['heuristic'];[4.0];no
713;search engines;provides;semantic search engine;['heuristic'];[17];yes
784;search engines;includes;semantic search engines;['luanyi'];[4];yes
56;search engines;provides;semantic search engines;['openie', 'heuristic'];[2, 44];yes
708;search engines;base;semantic web services;['heuristic'];[11];yes
42;search engines;uses;semantic web services;['luanyi'];[2];yes
326;search engines;uses;web ontology language;['luanyi'];[2];yes
293;security models;uses;resource description framework (rdf);['luanyi'];[1];yes
1426;security policies;base;web ontology language;['heuristic', 'heuristic'];[3.0, 1.0];no
135;security policies;uses;web ontology language;['luanyi'];[1];yes
1427;semantic concept;supports;semantic search engines;['heuristic'];[3.0];no
1255;semantic data;links;linked data;['heuristic'];[4.0];no
228;semantic data;uses;ontology alignment;['luanyi'];[1];yes
1048;semantic data;improves;semantic search engines;['heuristic'];[6.0];no
861;semantic data;uses;web ontology language;['heuristic'];[2];yes
435;semantic description;uses;analytic hierarchy process (ahp);['luanyi'];[1];yes
1428;semantic description;supports;automated reasoning;['heuristic'];[3.0];no
1049;semantic description;provides;automation;['heuristic'];[6.0];no
1429;semantic description;supports;autonomic computing;['heuristic'];[3.0];no
1138;semantic description;improves;cache;['heuristic'];[5.0];no
1256;semantic description;requires;compilers;['heuristic'];[4.0];no
725;semantic description;uses;component-based software engineering;['heuristic'];[11];yes
995;semantic description;produces;content based recommendation (cbr);['heuristic'];[7.0];no
597;semantic description;uses;description logics;['luanyi'];[1];yes
1430;semantic description;proposes;descriptors;['heuristic'];[3.0];no
957;semantic description;improves;digital libraries;['heuristic'];[8.0];no
419;semantic description;uses;digital libraries;['luanyi'];[1];yes
1257;semantic description;learns;e-learning environment;['heuristic'];[4.0];no
422;semantic description;produces;engine;['heuristic'];[16];yes
1431;semantic description;links;engineering;['heuristic'];[3.0];no
1432;semantic description;affects;extensible markup language (xml);['heuristic'];[3.0];no
542;semantic description;uses;formal specifications;['luanyi'];[1];yes
566;semantic description;uses;fuzzy logics;['luanyi'];[1];yes
891;semantic description;uses;haskell;['heuristic'];[2];yes
1433;semantic description;acquires;knowledge bases;['heuristic'];[3.0];no
554;semantic description;uses;knowledge bases;['luanyi'];[1];yes
1258;semantic description;converts;knowledge representation;['heuristic'];[4.0];no
549;semantic description;learns;learning;['heuristic'];[11];yes
1434;semantic description;proposes;linked data;['heuristic'];[3.0];no
335;semantic description;uses;model-driven architectures;['luanyi'];[1];yes
1259;semantic description;includes;multimedia data;['heuristic'];[4.0];no
149;semantic description;uses;ontologies;['openie', 'heuristic', 'luanyi'];[1, 48, 6];yes
817;semantic description;uses;ontology alignment;['heuristic'];[1];yes
529;semantic description;uses;ontology language;['luanyi', 'heuristic'];[2, 4];yes
874;semantic description;uses;parallel programming;['heuristic'];[2];yes
54;semantic description;supports;reasoning algorithms;['heuristic', 'openie'];[12, 1];yes
1260;semantic description;supports;search engines;['heuristic'];[4.0];no
436;semantic description;uses;semantic descriptions;['luanyi'];[1];yes
1050;semantic description;extends;semantic distance;['heuristic'];[6.0];no
1435;semantic description;extends;semantic relationships;['heuristic'];[3.0];no
1261;semantic description;provides;semantic relationships;['heuristic'];[4.0];no
648;semantic description;uses;semantic relationships;['luanyi'];[1];yes
1262;semantic description;provides;semantic web services;['heuristic'];[4.0];no
671;semantic description;represents;semantic web technologies;['heuristic'];[11];yes
489;semantic description;uses;semantic web technologies;['luanyi', 'heuristic'];[1, 3];yes
1263;semantic description;provides;sensor data;['heuristic'];[4.0];no
1436;semantic description;supports;service compositions;['heuristic'];[3.0];no
1437;semantic description;provides;web ontology language;['heuristic'];[3.0];no
593;semantic description;uses;web ontology language;['openie', 'heuristic'];[1, 3];yes
1438;semantic description;provides;wordnet;['heuristic'];[3.0];no
667;semantic description;uses;wordnet;['luanyi'];[1];yes
641;semantic descriptions;supports;business services;['openie'];[1];yes
723;semantic descriptions;is;component-based software engineering;['openie'];[1];yes
