;s;p;o;source;support;pipeline
1328;data mining;supports;ontology alignment;['heuristic'];[3.0];no
1329;data mining;acquires;resource description framework (rdf);['heuristic'];[3.0];no
1330;data mining;produces;semantic search engines;['heuristic'];[3.0];no
485;data mining;provides;semantic web services;['heuristic'];[10];yes
738;data publishing;uses;linked data;['luanyi', 'heuristic'];[1, 4];yes
726;data publishing;uses;resource description framework (rdf);['openie', 'heuristic'];[1, 1];yes
761;data sparsity;uses;linked data;['luanyi'];[1];yes
1331;database systems;includes;resource description framework (rdf);['heuristic'];[3.0];no
186;database systems;includes;semantic description;['luanyi'];[1];yes
716;database systems;includes;semantic descriptions;['luanyi'];[1];yes
639;dbpedia;is;linked data;['luanyi'];[4];yes
585;dbpedia;provides;linked data;['heuristic'];[39];yes
781;dbpedia;produces;resource description framework (rdf);['heuristic'];[9];yes
1185;decision procedures;supports;web ontology language;['heuristic'];[4.0];no
341;deontic logic;is;web ontology language;['luanyi'];[1];yes
1332;description logics;base;resource description framework (rdf);['heuristic'];[3.0];no
267;description logics;proposes;semantic web services;['heuristic'];[9];yes
698;description logics;supports;web ontology language;['heuristic'];[29];yes
57;description logics;uses;web ontology language;['luanyi'];[7];yes
1092;design knowledge;base;ontology alignment;['heuristic'];[5.0];no
305;digital contents;uses;linked data;['luanyi'];[1];yes
1333;digital images;converts;web ontology language;['heuristic'];[3.0];no
208;digital libraries;links;linked data;['heuristic'];[10];yes
253;digital libraries;uses;linked data;['luanyi'];[1];yes
525;digital libraries;uses;semantic web services;['luanyi'];[2];yes
1093;digital preservation;contributes;linked data;['heuristic'];[5.0];no
1186;distributed architectures;base;semantic web services;['heuristic'];[4.0];no
1334;distributed hash table;supports;semantic search engines;['heuristic'];[3.0];no
793;distributed hash table;includes;semantic web services;['luanyi'];[1];yes
376;distributed query processing;uses;linked data;['luanyi'];[1];yes
703;document clustering;uses;semantic search engines;['luanyi'];[1];yes
889;domain knowledge;uses;resource description framework (rdf);['heuristic'];[1];yes
191;domain knowledge;uses;semantic description;['luanyi'];[1];yes
1335;domain knowledge;produces;semantic search engines;['heuristic'];[3.0];no
69;domain knowledge;uses;semantic search engines;['luanyi'];[1];yes
368;domain knowledge;uses;semantic web services;['luanyi'];[1];yes
977;domain knowledge;converts;web ontology language;['heuristic'];[7.0];no
216;domain knowledge;includes;web ontology language;['luanyi'];[2];yes
219;domain knowledge;uses;web ontology language;['luanyi'];[3];yes
943;domain-specific ontologies;supports;linked data;['heuristic'];[8.0];no
516;domain-specific ontologies;uses;ontology alignment;['luanyi'];[2];yes
885;domain-specific ontologies;uses;resource description framework (rdf);['heuristic'];[2];yes
1336;domain-specific ontologies;includes;semantic description;['heuristic'];[3.0];no
211;domain-specific ontologies;uses;semantic search engines;['heuristic'];[13];yes
471;domain-specific ontologies;produces;semantic web services;['heuristic'];[11];yes
1094;domain-specific ontologies;proposes;web ontology language;['heuristic'];[5.0];no
591;domain-specific ontologies;uses;web ontology language;['luanyi', 'openie', 'luanyi'];[3, 1, 2];yes
733;dublin core;is;resource description framework (rdf);['luanyi'];[1];yes
1187;dublin core;selects;resource description framework (rdf);['heuristic'];[4.0];no
1337;dublin core;learns;web ontology language;['heuristic'];[3.0];no
1021;education;links;linked data;['heuristic'];[6.0];no
1188;education;uses;resource description framework (rdf);['heuristic'];[4.0];no
860;education;uses;web ontology language;['heuristic'];[1];yes
222;electronic commerce;requires;ontology alignment;['openie'];[1];yes
173;electronic commerce;uses;ontology alignment;['luanyi'];[1];yes
811;electronic health record (ehr);uses;semantic search engine;['heuristic'];[1];yes
940;electronic health record (ehr);uses;semantic search engines;['heuristic'];[3];yes
340;engine;links;linked data;['heuristic'];[13];yes
1338;engine;converts;ontology alignment;['heuristic'];[3.0];no
185;engine;uses;resource description framework (rdf);['heuristic', 'heuristic'];[10, 9];yes
604;engine;provides;semantic search engines;['heuristic'];[56];yes
315;engine;base;semantic web services;['heuristic'];[17];yes
1095;engine;produces;web ontology language;['heuristic'];[5.0];no
239;engine;uses;web ontology language;['heuristic'];[13];yes
178;engineering;converts;linked data;['heuristic'];[10];yes
873;engineering;includes;ontology alignment;['heuristic', 'heuristic'];[3, 5];yes
1022;engineering;supports;resource description framework (rdf);['heuristic'];[6.0];no
822;engineering;uses;resource description framework (rdf);['heuristic'];[1];yes
944;engineering;proposes;semantic description;['heuristic'];[8.0];no
1096;engineering;automates;semantic web services;['heuristic'];[5.0];no
727;engineering;produces;web ontology language;['heuristic'];[11];yes
978;engineering;supports;web ontology language;['heuristic'];[7.0];no
159;enterprise architecture;uses;resource description framework (rdf);['luanyi', 'openie', 'heuristic'];[1, 1, 1];yes
820;enterprise information systems;uses;semantic web services;['heuristic'];[7];yes
787;extensible markup language;uses;resource description framework (rdf);['heuristic'];[14];yes
1189;extensible markup language (xml);converts;linked data;['heuristic'];[4.0];no
1190;extensible markup language (xml);uses;ontology alignment;['heuristic'];[4.0];no
402;extensible markup language (xml);converts;resource description framework (rdf);['heuristic'];[149];yes
673;extensible markup language (xml);uses;resource description framework (rdf);['heuristic'];[25];yes
826;extensible markup language (xml);is;semantic search engine;['heuristic'];[1];yes
22;extensible markup language (xml);uses;semantic search engine;['luanyi'];[1];yes
1097;extensible markup language (xml);proposes;semantic search engines;['heuristic'];[5.0];no
679;extensible markup language (xml);includes;semantic web services;['heuristic'];[10];yes
663;extensible markup language (xml);defines;web ontology language;['heuristic'];[22];yes
28;extensible markup language (xml);proposes;web ontology language;['heuristic'];[11];yes
1339;extensible stylesheet language (xslt);converts;resource description framework (rdf);['heuristic'];[3.0];no
1191;extract-transform-load (etl) process;proposes;web ontology language;['heuristic'];[4.0];no
561;facebook;is;semantic search engines;['luanyi'];[1];yes
928;facial expressions;uses;linked data;['heuristic'];[1];yes
913;financial statement ontology (fso);uses;web ontology language;['heuristic'];[1];yes
1340;fingerprints;learns;linked data;['heuristic'];[3.0];no
917;formal models;uses;semantic web services;['heuristic'];[7];yes
920;formal specifications;uses;resource description framework (rdf);['heuristic'];[1];yes
1023;fuzzy description logic;extends;web ontology language;['heuristic'];[6.0];no
1341;fuzzy logics;maintains;semantic description;['heuristic'];[3.0];no
1342;fuzzy ontology;proposes;resource description framework (rdf);['heuristic'];[3.0];no
283;fuzzy ontology;uses;semantic search engine;['luanyi'];[1];yes
938;fuzzy ontology;uses;web ontology language;['heuristic'];[4];yes
